actor_name
CCH Pounder
Joel David Moore
Wes Studi
Johnny Depp
Orlando Bloom
Jack Davenport
Christoph Waltz
Rory Kinnear
Stephanie Sigman
Tom Hardy
Christian Bale
Joseph Gordon-Levitt
Daryl Sabara
Samantha Morton
Polly Walker
J.K. Simmons
James Franco
Kirsten Dunst
Brad Garrett
Donna Murphy
M.C. Gainey
Chris Hemsworth
Robert Downey Jr.
Scarlett Johansson
Alan Rickman
Daniel Radcliffe
Rupert Grint
Henry Cavill
Lauren Cohan
Alan D. Purwin
Kevin Spacey
Marlon Brando
Frank Langella
Giancarlo Giannini
Mathieu Amalric
Ruth Wilson
Tom Wilkinson
Christopher Meloni
Harry Lennix
Peter Dinklage
Pierfrancesco Favino
Damián Alcázar
Sam Claflin
Stephen Graham
Will Smith
Michael Stuhlbarg
Nicole Scherzinger
Aidan Turner
Adam Brown
James Nesbitt
Emma Stone
Andrew Garfield
Chris Zylka
Mark Addy
William Hurt
Scott Grimes
Christopher Lee
Eva Green
Kristin Scott Thomas
Naomi Watts
Thomas Kretschmann
Evan Parke
Leonardo DiCaprio
Kate Winslet
Gloria Stuart
Chris Evans
Liam Neeson
Alexander Skarsgård
Tadanobu Asano
Bryce Dallas Howard
Judy Greer
Omar Sy
Albert Finney
Helen McCrory
Jon Favreau
Don Cheadle
Anne Hathaway
Hugh Jackman
Kelsey Grammer
Daniel Cudmore
Steve Buscemi
Tyler Labine
Sean Hayes
Glenn Morshower
Kevin Dunn
Ramon Rodriguez
Bingbing Li
Sophia Myles
Tim Holmes
Mila Kunis
B.J. Novak
Jeff Bridges
Olivia Wilde
James Frain
Joe Mantegna
Eddie Izzard
Ryan Reynolds
Temuera Morrison
Taika Waititi
Tom Hanks
John Ratzenberger
Don Rickles
Common
Jason Statham
Paul Walker
Vin Diesel
Peter Capaldi
Brad Pitt
Mireille Enos
Jennifer Lawrence
Benedict Cumberbatch
Bruce Greenwood
Noel Clarke
Eddie Marsan
Ewen Bremner
Ralph Brown
Elizabeth Debicki
Steve Bisley
Jake Gyllenhaal
Richard Coyle
Reece Ritchie
Charlie Hunnam
Clifton Collins Jr.
Larry Joe Campbell
Lester Speight
