movie_title,actor_name
Avatar,CCH Pounder
Avatar,Joel David Moore
Avatar,Wes Studi
Pirates of the Caribbean: At World's End,Johnny Depp
Pirates of the Caribbean: At World's End,Orlando Bloom
Pirates of the Caribbean: At World's End,Jack Davenport
Spectre,Christoph Waltz
Spectre,Rory Kinnear
Spectre,Stephanie Sigman
The Dark Knight Rises,Tom Hardy
The Dark Knight Rises,Christian Bale
The Dark Knight Rises,Joseph Gordon-Levitt
John Carter,Daryl Sabara
John Carter,Samantha Morton
John Carter,Polly Walker
Spider-Man 3,J.K. Simmons
Spider-Man 3,James Franco
Spider-Man 3,Kirsten Dunst
Tangled,Brad Garrett
Tangled,Donna Murphy
Tangled,M.C. Gainey
Avengers: Age of Ultron,Chris Hemsworth
Avengers: Age of Ultron,Robert Downey Jr.
Avengers: Age of Ultron,Scarlett Johansson
Harry Potter and the Half-Blood Prince,Alan Rickman
Harry Potter and the Half-Blood Prince,Daniel Radcliffe
Harry Potter and the Half-Blood Prince,Rupert Grint
Batman v Superman: Dawn of Justice,Henry Cavill
Batman v Superman: Dawn of Justice,Lauren Cohan
Batman v Superman: Dawn of Justice,Alan D. Purwin
Superman Returns,Kevin Spacey
Superman Returns,Marlon Brando
Superman Returns,Frank Langella
Quantum of Solace,Giancarlo Giannini
Quantum of Solace,Mathieu Amalric
Quantum of Solace,Rory Kinnear
Pirates of the Caribbean: Dead Man's Chest,Johnny Depp
Pirates of the Caribbean: Dead Man's Chest,Orlando Bloom
Pirates of the Caribbean: Dead Man's Chest,Jack Davenport
The Lone Ranger,Johnny Depp
The Lone Ranger,Ruth Wilson
The Lone Ranger,Tom Wilkinson
Man of Steel,Henry Cavill
Man of Steel,Christopher Meloni
Man of Steel,Harry Lennix
The Chronicles of Narnia: Prince Caspian,Peter Dinklage
The Chronicles of Narnia: Prince Caspian,Pierfrancesco Favino
The Chronicles of Narnia: Prince Caspian,Damián Alcázar
The Avengers,Chris Hemsworth
The Avengers,Robert Downey Jr.
The Avengers,Scarlett Johansson
Pirates of the Caribbean: On Stranger Tides,Johnny Depp
Pirates of the Caribbean: On Stranger Tides,Sam Claflin
Pirates of the Caribbean: On Stranger Tides,Stephen Graham
Men in Black 3,Will Smith
Men in Black 3,Michael Stuhlbarg
Men in Black 3,Nicole Scherzinger
The Hobbit: The Battle of the Five Armies,Aidan Turner
The Hobbit: The Battle of the Five Armies,Adam Brown
The Hobbit: The Battle of the Five Armies,James Nesbitt
The Amazing Spider-Man,Emma Stone
The Amazing Spider-Man,Andrew Garfield
The Amazing Spider-Man,Chris Zylka
Robin Hood,Mark Addy
Robin Hood,William Hurt
Robin Hood,Scott Grimes
The Hobbit: The Desolation of Smaug,Aidan Turner
The Hobbit: The Desolation of Smaug,Adam Brown
The Hobbit: The Desolation of Smaug,James Nesbitt
The Golden Compass,Christopher Lee
The Golden Compass,Eva Green
The Golden Compass,Kristin Scott Thomas
King Kong,Naomi Watts
King Kong,Thomas Kretschmann
King Kong,Evan Parke
Titanic,Leonardo DiCaprio
Titanic,Kate Winslet
Titanic,Gloria Stuart
Captain America: Civil War,Robert Downey Jr.
Captain America: Civil War,Scarlett Johansson
