movie_title,genre_type
Avatar,Action
Avatar,Adventure
Avatar,Fantasy
Avatar,Sci-Fi
Pirates of the Caribbean: At World's End,Action
Pirates of the Caribbean: At World's End,Adventure
Pirates of the Caribbean: At World's End,Fantasy
Spectre,Action
Spectre,Adventure
Spectre,Thriller
The Dark Knight Rises,Action
The Dark Knight Rises,Thriller
John Carter,Action
John Carter,Adventure
John Carter,Sci-Fi
Spider-Man 3,Action
Spider-Man 3,Adventure
Spider-Man 3,Romance
Tangled,Adventure
Tangled,Animation
Tangled,Comedy
Tangled,Family
Tangled,Fantasy
Tangled,Musical
Tangled,Romance
Avengers: Age of Ultron,Action
Avengers: Age of Ultron,Adventure
Avengers: Age of Ultron,Sci-Fi
Harry Potter and the Half-Blood Prince,Adventure
Harry Potter and the Half-Blood Prince,Family
Harry Potter and the Half-Blood Prince,Fantasy
Harry Potter and the Half-Blood Prince,Mystery
Batman v Superman: Dawn of Justice,Action
Batman v Superman: Dawn of Justice,Adventure
Batman v Superman: Dawn of Justice,Sci-Fi
Superman Returns,Action
Superman Returns,Adventure
Superman Returns,Sci-Fi
Quantum of Solace,Action
Quantum of Solace,Adventure
Pirates of the Caribbean: Dead Man's Chest,Action
Pirates of the Caribbean: Dead Man's Chest,Adventure
Pirates of the Caribbean: Dead Man's Chest,Fantasy
The Lone Ranger,Action
The Lone Ranger,Adventure
The Lone Ranger,Western
Man of Steel,Action
Man of Steel,Adventure
Man of Steel,Fantasy
Man of Steel,Sci-Fi
The Chronicles of Narnia: Prince Caspian,Action
The Chronicles of Narnia: Prince Caspian,Adventure
The Chronicles of Narnia: Prince Caspian,Family
The Chronicles of Narnia: Prince Caspian,Fantasy
The Avengers,Action
The Avengers,Adventure
The Avengers,Sci-Fi
Pirates of the Caribbean: On Stranger Tides,Action
Pirates of the Caribbean: On Stranger Tides,Adventure
Pirates of the Caribbean: On Stranger Tides,Fantasy
Men in Black 3,Action
Men in Black 3,Adventure
Men in Black 3,Comedy
Men in Black 3,Family
Men in Black 3,Fantasy
Men in Black 3,Sci-Fi
The Hobbit: The Battle of the Five Armies,Adventure
The Hobbit: The Battle of the Five Armies,Fantasy
The Amazing Spider-Man,Action
The Amazing Spider-Man,Adventure
The Amazing Spider-Man,Fantasy
Robin Hood,Action
Robin Hood,Adventure
Robin Hood,Drama
Robin Hood,History
The Hobbit: The Desolation of Smaug,Adventure
The Hobbit: The Desolation of Smaug,Fantasy
The Golden Compass,Adventure
The Golden Compass,Family
The Golden Compass,Fantasy
King Kong,Action
King Kong,Adventure
King Kong,Drama
King Kong,Romance
Titanic,Drama
Titanic,Romance
Captain America: Civil War,Action
Captain America: Civil War,Adventure
Captain America: Civil War,Sci-Fi
Battleship,Action
Battleship,Adventure
Battleship,Sci-Fi
Battleship,Thriller
Jurassic World,Action
Jurassic World,Adventure
Jurassic World,Sci-Fi
Jurassic World,Thriller
Skyfall,Action
Skyfall,Adventure
Skyfall,Thriller
Spider-Man 2,Action
Spider-Man 2,Adventure
Spider-Man 2,Fantasy
Spider-Man 2,Romance
Iron Man 3,Action
Iron Man 3,Adventure
Iron Man 3,Sci-Fi
Alice in Wonderland,Adventure
Alice in Wonderland,Family
Alice in Wonderland,Fantasy
